"id","diocese_id","code","alias","name","type","responsible","description","email","phone","url","picture","tags","phone_original","phone_international","phone_national","common_name","created_at","updated_at","addresse_messe_info_id","addresse_google_maps_id","address_country","address_locality","address_region","postal_code","street_address","formatted_address","latitude","longitude","zoom"
17092,932,"ve/78/ablis","192001","Ablis","Groupement paroissial","Père Charles-Henry HUGUET"," ","paroisse.ablis@wanadoo.fr","+33130591034","http://paroisse-ablis.fr","http://lh3.googleusercontent.com/jChmtQXTcd2kOoXbI8BDly_z59cv6ezZbxgW9nZ7MIu-XzWc0Hod6hh_tYLKbLs_4q30LbtBJ5slKglAYeDzMiM",,"01 30 59 10 34","+33 1 30 59 10 34","01 30 59 10 34",,"2018-04-07 11:24:57","2018-04-07 11:24:57",,,"fr","ABLIS",,"78660","1 avenue des Platanes",,,,
17093,932,"ve/78/acheres","192002","Achères","Paroisse","Père Jean-Pierre ZIMILLE-TRAN","&nbsp;","paroisse-stmartin-acheres@orange.fr","+33139111024","http://paroisse-acheres-catholique-yvelines.cef.fr/","http://lh3.googleusercontent.com/FL6C3b5dgzPhByA8Q9t3T8FsGY_h00v8R2q07GvBU-v8ienA33Rzxhue_4HWrz7ODQ2TaqsUWz49Nw2XQvG4Gw",,"01 39 11 10 24","+33 1 39 11 10 24","01 39 11 10 24",,"2018-04-07 11:24:57","2018-04-07 11:24:57",,,"fr","ACHERES",,"78260","8 avenue de Stalingrad",,,,
17094,932,"ve/78/notre-dame-de-la-route","192005","Aubergenville -  Notre Dame de la Route","Groupement paroissial","Père Damien WARNAN"," ","route113@neuf.fr","+33130957155","http://paroisse.aubergenville.org",,,"01 30 95 71 55","+33 1 30 95 71 55","01 30 95 71 55",,"2018-04-07 11:24:57","2018-04-07 11:24:57",,,"fr","AUBERGENVILLE",,"78410","4 rue Gaston Jouillerat",,,,
17095,932,"ve/78/aumonerie-de-la-batellerie","192013","Aumonerie de la Batellerie","Paroisse"," Père Pierre Ha NGUYEN VAN, Administrateur"," ","je-sers@wanadoo.fr","+33687294466","http://www.bateaujesers.org/paroisse.html","http://lh6.ggpht.com/OU4UpuLRN0II2zy0cLM7LMPX8J9oge1pJtbfTTq8E00wyFCgBbAU7P18gLFqUdQ2A99uL1LF9-uyY7rxZKlK8pM",,"06 87 29 44 66","+33 6 87 29 44 66","06 87 29 44 66",,"2018-04-07 11:24:57","2018-04-07 11:24:57",,,"fr","CONFLANS SAINTE HONORINE",,"78700","Quai de la République",,,,
17096,932,"ve/78/bailly-noisy-rennemoulin","192006","Bailly - Noisy - Rennemoulin","Groupement paroissial","Père Benoit CHEVALIER","&nbsp;","paroisse.bailly-noisy@wanadoo.fr","+33134629348","http://www.paroisse-bailly-noisy.org","http://lh3.googleusercontent.com/f3lXU9F80KX73yAZwX4uNcEw0YaX-USIIMvDSM3xd5zJQZwjKwom2aOFBHICP5QmbT-_pei9MATeBh5qDrWFWtU",,"01 34 62 93 48","+33 1 34 62 93 48","01 34 62 93 48",,"2018-04-07 11:24:57","2018-04-07 11:24:57",,,"fr","NOISY LE ROI",,"78590","7 rue François Boulin",,,,
17097,932,"ve/78/bois-d-arcy","192008","Bois-D'Arcy","Paroisse","Père François De Foucauld"," ","secretariat@paroisse-boisdarcy.fr","+33134600485","https://paroisse-boisdarcy.fr","http://lh3.googleusercontent.com/euyKOLXXgqBkKXGCUjRsNRW9Pqk8V1rcmDMByzug1osczXM09ISNg4_BJwrescJYQIAChZ1Xsc68X_KHu4697yX2",,"01 34 60 04 85","+33 1 34 60 04 85","01 34 60 04 85",,"2018-04-07 11:24:57","2018-04-07 11:24:57",,,"fr","BOIS D'ARCY",,"78390","3 place de l'Eglise",,,,
17098,932,"ve/78/rosny-bonnieres","192104","Bonnières - Rosny","Groupement paroissial","Père Landry VEDRENNE"," ","paroissedebonniere@gmail.com","+33130420955","http://paroissebonnieres-78.cef.fr/","http://lh3.googleusercontent.com/JDdJagSzJWaACU9ZUViuIZgOQZuDVLC3StcCdywV-VleugKL-hIDmwNN-7OA5s9ecXX4jfnyFgOJRjafUOOTlQ",,"01 30 42 09 55","+33 1 30 42 09 55","01 30 42 09 55",,"2018-04-07 11:24:57","2018-04-07 11:24:57",,,"fr","BONNIERES SUR SEINE",,"78270","43 rue Georges Herrewyn",,,,
17099,932,"ve/78/bougival","192010","Bougival","Paroisse","Père Bruno BONNET"," ","eglisebougival@free.fr","+33139690150","http://www.paroissebougival.fr/","http://lh3.googleusercontent.com/lKRl5GYhbZI-kXoPCcGdCQgNIcvH0iQJNFUj9jI5qmyUEz5-byPy0iiHRdVB07AHSCADp3KNukifZOJKxQNzfA",,"01 39 69 01 50","+33 1 39 69 01 50","01 39 69 01 50",,"2018-04-07 11:24:57","2018-04-07 11:24:57",,,"fr","BOUGIVAL",,"78380","1 rue Croix-aux-Vents",,,,
17100,932,"ve/78/breval","192011","Bréval - Dammartin-en-Serve","Groupement paroissial","Père Simon Keke Adjignon"," ","groupementparoissialbreval@orange.fr","+33134783166","http://www.paroisse-breval-dammartin.fr","http://lh3.googleusercontent.com/5qX_CDLswKU5Q3afR4Jt9uEL3r3-f3r4ZV6YC21V0ofTrvOMkt8NlhLnnqc144aA4Pu7zNmH7gkYRVhmxK-cemq_",,"01 34 78 31 66","+33 1 34 78 31 66","01 34 78 31 66",,"2018-04-07 11:24:57","2018-04-07 11:24:57",,,"fr","BREVAL",,"78980","4 rue de la Sergenterie",,,,
17101,932,"ve/78/chanteloup-carrieres","192103","Carrières - Chanteloup","Groupement paroissial","Père Alain Biniakounou"," ","presbytere.carrieres@free.fr","+33139747965","http://paroisses-carrieres-chanteloup.fr/","http://lh3.googleusercontent.com/oFQbHFpATCoVJNMQwtFMYFJlQvO0mRTuJxez4oPmzDc9doBSjW1SaLhiLgdEKtPtJZov-Kb3iFd9sdBssTEzFFU",,"01 39 74 79 65","+33 1 39 74 79 65","01 39 74 79 65",,"2018-04-07 11:24:57","2018-04-07 11:24:57",,,"fr","CARRIERES SOUS POISSY",,"78955","557 grande Rue",,,,
